unit,parent_iso3,metric,year,value,unit_measure,precision,methodology_notes
ID-PB,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-PB,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-PB,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-PB,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-PB,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-PD,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-PD,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-PD,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-PD,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-PD,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-PD,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-PE,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-PE,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-PE,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-PE,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-PE,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-PE,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-PS,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-PS,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-PS,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-PS,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-PS,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-PS,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-PT,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-PT,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-PT,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-PT,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-PT,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-PT,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-RI,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-RI,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-RI,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-RI,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-RI,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-RI,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SL,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SL,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SL,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SL,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SL,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SL,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SR,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SR,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SR,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SR,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SR,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SR,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SN,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SN,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SN,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SN,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SN,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SN,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-ST,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-ST,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-ST,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-ST,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-ST,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-ST,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SG,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SG,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SG,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SG,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SG,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SG,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SA,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SA,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SA,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SA,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SA,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SA,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SM,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SM,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SM,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SM,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SM,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SM,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SB,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SB,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SB,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SB,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SB,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SB,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SS,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SS,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SS,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SS,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SS,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SS,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-SU,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-SU,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-SU,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-SU,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-SU,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-SU,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ID-YO,IDN,population,2024.0,283487931.0,people,1,Total population (World Bank estimate)
ID-YO,IDN,gdp,2024.0,1396300098190.97,current USD,2,GDP current US$ (World Bank estimate)
ID-YO,IDN,unemployment_rate,2024.0,3.3,% of labor force,2,Unemployment rate (modeled ILO estimate)
ID-YO,IDN,inflation_cpi,2023.0,3.67013142377007,% change,2,"Inflation, consumer prices annual %"
ID-YO,IDN,labour_force_participation,2024.0,66.966,% of population,2,Labor force participation rate (modeled ILO estimate)
ID-YO,IDN,broadband_subscriptions,2023.0,4.81664,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CN,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CN,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CN,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CN,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CN,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CN,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CE,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CE,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CE,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CE,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CE,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CE,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-WH,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-WH,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-WH,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-WH,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-WH,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-WH,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-LD,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-LD,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-LD,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-LD,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-LD,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-LD,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-M,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-M,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-M,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-M,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-M,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-M,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-MH,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-MH,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-MH,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-MH,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-MH,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-MH,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-D,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-D,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-D,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-D,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-D,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-D,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CW,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CW,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CW,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CW,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CW,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CW,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CN,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CN,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CN,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CN,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CN,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CN,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CW,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CW,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CW,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CW,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CW,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CW,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-KY,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-KY,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-KY,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-KY,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-KY,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-KY,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-KK,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-KK,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-KK,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-KK,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-KK,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-KK,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-KE,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-KE,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-KE,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-KE,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-KE,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-KE,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-WW,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-WW,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-WW,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-WW,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-WW,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-WW,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CE,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CE,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CE,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CE,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CE,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CE,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-C,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-C,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-C,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-C,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-C,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-C,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-C,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-C,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-C,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-C,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-C,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-C,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CO,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CO,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CO,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CO,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CO,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CO,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-CO,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-CO,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-CO,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-CO,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-CO,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-CO,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-DL,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-DL,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-DL,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-DL,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-DL,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-DL,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-D,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-D,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-D,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-D,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-D,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-D,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-DL,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-DL,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-DL,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-DL,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-DL,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-DL,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-G,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-G,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-G,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-G,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-G,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-G,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-G,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-G,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-G,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-G,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-G,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-G,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-KY,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-KY,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-KY,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-KY,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-KY,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-KY,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-KE,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-KE,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-KE,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-KE,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-KE,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-KE,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-KK,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-KK,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-KK,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-KK,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-KK,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-KK,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-L,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-L,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
IE-L,IRL,unemployment_rate,2024.0,4.369,% of labor force,2,Unemployment rate (modeled ILO estimate)
IE-L,IRL,inflation_cpi,2024.0,2.11344999577317,% change,2,"Inflation, consumer prices annual %"
IE-L,IRL,labour_force_participation,2024.0,65.19,% of population,2,Labor force participation rate (modeled ILO estimate)
IE-L,IRL,broadband_subscriptions,2023.0,31.8911,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
IE-LS,IRL,population,2024.0,5380257.0,people,1,Total population (World Bank estimate)
IE-LS,IRL,gdp,2024.0,577389475009.922,current USD,2,GDP current US$ (World Bank estimate)
